Sito,HTTP Requests,HTTP/2 Requests,HTTP/3 Requests
server-18-65-82-83.fco50.r.cloudfront.net,0,22,0
ec2-3-7-61-75.ap-south-1.compute.amazonaws.com,0,48,0
server-13-35-198-18.fco50.r.cloudfront.net,0,53,59
189.241.49.34.bc.googleusercontent.com,0,19,0
server-108-139-229-45.fco50.r.cloudfront.net,0,17,0
a12b7a488abeaa9e4.awsglobalaccelerator.com,0,14,0
151.101.241.175,0,53,0
a23-12-110-93.deploy.static.akamaitechnologies.com,0,28,0
a23-2-54-238.deploy.static.akamaitechnologies.com,0,454,0
156.247.186.35.bc.googleusercontent.com,0,20,0
a23-32-221-47.deploy.static.akamaitechnologies.com,0,35,0
server-18-65-82-71.fco50.r.cloudfront.net,0,30,0
a2-21-165-209.deploy.static.akamaitechnologies.com,0,29,0
s3-ap-southeast-1.amazonaws.com,0,1887,0
104.211.100.21,0,28,0
20.207.69.20,0,712,0
45.60.124.71,0,484,0
bharattaxi.com,0,446,0
ec2-13-126-240-222.ap-south-1.compute.amazonaws.com,0,573,0
20.150.65.1,0,14,0
ec2-13-200-127-201.ap-south-1.compute.amazonaws.com,0,151,0
ec2-52-27-51-85.us-west-2.compute.amazonaws.com,0,20,0
crt.usertrust.com,1,0,0
zerossl.crt.sectigo.com,1,0,0
www.mytaxiindia.com,37,0,0
maxcdn.bootstrapcdn.com,2,0,0
www.googletagmanager.com,1,0,0
track.in.omgpm.com,1,0,0
ec2-52-31-178-153.eu-west-1.compute.amazonaws.com,0,18,0
172.67.74.152,0,17,0
cdn.connecto.io,1,0,0
server.connecto.io,1,0,0
a95-101-211-104.deploy.static.akamaitechnologies.com,0,469,0
ec2-35-160-151-220.us-west-2.compute.amazonaws.com,0,34,0
server-13-35-246-26.fco50.r.cloudfront.net,0,11,0
server-18-65-70-161.fco50.r.cloudfront.net,0,41,0
server-18-154-161-105.fco50.r.cloudfront.net,0,29,0
server-52-222-130-67.fco50.r.cloudfront.net,0,18,9
ec2-52-23-111-227.compute-1.amazonaws.com,0,15,0
ec2-13-127-27-105.ap-south-1.compute.amazonaws.com,0,36,0
server-108-139-229-65.fco50.r.cloudfront.net,0,228,0
server-18-65-82-72.fco50.r.cloudfront.net,0,31,0
ec2-18-136-237-75.ap-southeast-1.compute.amazonaws.com,0,36,0
ec2-3-120-232-216.eu-central-1.compute.amazonaws.com,0,334,0
vps.nstepup.com,0,569,0
ec2-3-233-158-26.compute-1.amazonaws.com,0,10,0
server-13-226-244-57.fco50.r.cloudfront.net,0,23,0
ec2-35-165-229-202.us-west-2.compute.amazonaws.com,0,58,0
srv16.sentrynet.in,0,2418,0
162-215-226-3.unifiedlayer.com,0,6,0
ec2-3-108-78-229.ap-south-1.compute.amazonaws.com,0,21,0
58.250.149.34.bc.googleusercontent.com,0,485,7
server-13-35-198-116.fco50.r.cloudfront.net,0,10,0
188.206.49.34.bc.googleusercontent.com,0,20,9
a23-10-244-133.deploy.static.akamaitechnologies.com,0,15,0
4.193.67.176,0,28,0
